ds,yhat,yhat_lower,yhat_upper
2022-01-01,1606.8847924011093,-217.2089842906941,3232.5439854630545
2022-02-01,1617.9883976342376,-43.39496197951235,3286.750316438976
2022-03-01,1399.5005429874195,-314.83834459591054,3083.2179688258416
2022-04-01,1300.283072508116,-390.69122843877136,2940.9418130300155
2022-05-01,1116.510584088094,-714.1950302831333,2815.0614787026407
2022-06-01,1057.4678931575913,-579.6713378974144,2826.837484648831
2022-07-01,1083.1272106839722,-527.8034456768119,2827.216166350522
2022-08-01,1227.9802406633937,-381.4401863232011,2943.2404624377173
2022-09-01,1126.7332687043486,-600.3074725327095,2877.9197783367154
2022-10-01,1205.1310741043098,-486.54300603520016,2905.6137253707398
2022-11-01,1451.0544442421913,-288.21521720068847,3162.642655398545
2022-12-01,1781.3932673355573,109.9642415859073,3365.3882833390967
2023-01-01,1870.0563901645235,94.19048128862104,3582.2383638783062
2023-02-01,1874.484562269259,256.24835278048823,3417.759377366977
2023-03-01,1630.9569208662417,-155.9219150002797,3346.7038947671813
2023-04-01,1559.4817792622648,-247.75877626427737,3284.005185043496
2023-05-01,1369.650675857075,-288.64710154748974,3109.0489222185442
2023-06-01,1303.01367268279,-250.97623490268407,2969.2001927729434
2023-07-01,1321.1767735639162,-348.55339737971764,3026.991525239401
2023-08-01,1463.652737401304,-104.76165867331166,3339.188638532074
2023-09-01,1371.4201306204814,-299.8338740199258,3054.426946262854
2023-10-01,1474.721129552324,-258.9494946323737,3159.2296263603666
2023-11-01,1705.6158629986028,55.51775380617645,3368.428121546429
2023-12-01,1983.9354123621451,340.62605010605637,3666.5191992006885
