대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 중구 금동 194-7,77.62,경량철골구조,단독주택,기타지붕,1910
대전광역시 중구 금동 195,78.38,철근콘크리트구조,단독주택,(철근)콘크리트,2009-02-11
대전광역시 중구 금동 196-2,103.62,철근콘크리트구조,단독주택,(철근)콘크리트,2023-07-31
대전광역시 중구 금동 197,134.705,벽돌구조,단독주택,(철근)콘크리트,1960
대전광역시 중구 금동 198-2,50.0,벽돌구조,제2종근린생활시설,(철근)콘크리트,2004-08-02
대전광역시 중구 금동 198-3,115.84,일반목구조,단독주택,슬레이트,1965
대전광역시 중구 금동 200,120.62,일반목구조,단독주택,기타지붕,2022-01-20
대전광역시 중구 금동 201,32.68,일반목구조,단독주택,슬레이트,1925
대전광역시 중구 금동 202,116.82,일반목구조,단독주택,슬레이트,1960
대전광역시 중구 금동 204,104.5,일반목구조,단독주택,슬레이트,1960
대전광역시 중구 금동 205,243.44,벽돌구조,단독주택,슬레이트,1910
대전광역시 중구 금동 217,173.04,벽돌구조,단독주택,(철근)콘크리트,1994-09-28
대전광역시 중구 금동 218,98.8,블록구조,단독주택,(철근)콘크리트,2017-03-10
대전광역시 중구 금동 307-1,86.69,블록구조,단독주택,슬레이트,1988-05-14
대전광역시 중구 금동 308,49.7,일반목구조,단독주택,기타지붕,2008-04-11
대전광역시 중구 금동 325-4,132.16,철골콘크리트구조,동.식물관련시설,슬레이트,1993-01-06
대전광역시 중구 금동 380,70.8,벽돌구조,종교시설,(철근)콘크리트,1996-12-17
대전광역시 중구 금동 439,198.89,철근콘크리트구조,제1종근린생활시설,기타지붕,2000-08-18
대전광역시 중구 금동 440,112.97,철근콘크리트구조,단독주택,(철근)콘크리트,2015-01-23
대전광역시 중구 금동 442,284.57,철근콘크리트구조,노유자시설,(철근)콘크리트,2005-12-07
대전광역시 중구 금동 443-1,104.35,경량철골구조,창고시설,기타지붕,1993-01-06
대전광역시 중구 금동 445-6,156.6,경량철골구조,단독주택,기타지붕,2011-02-25
대전광역시 중구 금동 447,114.36,철근콘크리트구조,단독주택,기타지붕,
대전광역시 중구 금동 458,114.36,철근콘크리트구조,단독주택,기타지붕,2016-06-17
대전광역시 중구 금동 460,95.17,철근콘크리트구조,단독주택,(철근)콘크리트,2021-04-26
대전광역시 중구 금동 460-1,71.06,경량철골구조,단독주택,기타지붕,2011-08-01
대전광역시 중구 금동 490,101.83,기타조적구조,단독주택,슬레이트,1940
대전광역시 중구 금동 490-1,136.11,일반목구조,단독주택,슬레이트,
대전광역시 중구 금동 510-1,144.8,블록구조,단독주택,슬레이트,1983-11-28
대전광역시 중구 금동 516,185.28,기타조적구조,단독주택,기타지붕,1910
대전광역시 중구 금동 555,181.2,경량철골구조,동.식물관련시설,기타지붕,2006-06-26
대전광역시 중구 금동 61,326.03999999999996,경량철골구조,단독주택,기타지붕,1997-09-20
대전광역시 중구 금동 611,589.37,철근콘크리트구조,노유자시설,(철근)콘크리트,2007-01-12
대전광역시 중구 대사동 101-6,102.34,벽돌구조,제1종근린생활시설,(철근)콘크리트,1982-11-05
대전광역시 중구 대사동 102,73.486,기타조적구조,단독주택,슬레이트,1961
대전광역시 중구 대사동 102-5,87.33,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1992-10-09
대전광역시 중구 대사동 104-1,72.94,기타조적구조,제1종근린생활시설,(철근)콘크리트,1999-09-21
대전광역시 중구 대사동 104-10,71.9,벽돌구조,단독주택,(철근)콘크리트,1970-08-18
대전광역시 중구 대사동 104-11,66.88,벽돌구조,단독주택,(철근)콘크리트,1971-04-30
대전광역시 중구 대사동 104-12,63.34,벽돌구조,제2종근린생활시설,(철근)콘크리트,1971-02-15
대전광역시 중구 대사동 104-13,77.12,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1999-07-06
대전광역시 중구 대사동 104-15,48.96,철근콘크리트구조,단독주택,(철근)콘크리트,2004-01-02
대전광역시 중구 대사동 104-4,72.64,벽돌구조,제1종근린생활시설,슬레이트,1993-02-05
대전광역시 중구 대사동 104-5,27.54,일반목구조,단독주택,기와,1959
대전광역시 중구 대사동 104-6,155.2,벽돌구조,제2종근린생활시설,(철근)콘크리트,1993-09-10
대전광역시 중구 대사동 104-7,67.2,벽돌구조,단독주택,(철근)콘크리트,1971-06-12
대전광역시 중구 대사동 104-8,485.21,벽돌구조,제1종근린생활시설,슬레이트,1952
대전광역시 중구 대사동 104-9,71.9,벽돌구조,단독주택,(철근)콘크리트,1970-08-18
대전광역시 중구 대사동 108,42.41,벽돌구조,단독주택,기와,1967
대전광역시 중구 대사동 114,56.19,일반목구조,단독주택,슬레이트,1960
대전광역시 중구 대사동 114-1,48.09,벽돌구조,단독주택,(철근)콘크리트,1971-11-18
대전광역시 중구 대사동 114-17,63.07,벽돌구조,단독주택,(철근)콘크리트,1975-11-20
대전광역시 중구 대사동 114-18,32.13,벽돌구조,단독주택,(철근)콘크리트,1973-10-30
대전광역시 중구 대사동 114-20,66.01,벽돌구조,단독주택,기와,1975-12-03
대전광역시 중구 대사동 114-22,75.23,벽돌구조,단독주택,기와,1976-03-11
대전광역시 중구 대사동 114-27,125.39,철근콘크리트구조,단독주택,(철근)콘크리트,1972
대전광역시 중구 대사동 114-28,56.36,벽돌구조,단독주택,(철근)콘크리트,1976-08-10
대전광역시 중구 대사동 114-29,59.13,벽돌구조,단독주택,기와,1976-03-08
대전광역시 중구 대사동 114-31,27.79,벽돌구조,제2종근린생활시설,기타지붕,2001-09-11
대전광역시 중구 대사동 115,26.45,일반목구조,단독주택,기와,1958
대전광역시 중구 대사동 116,69.69,일반목구조,단독주택,기와,1949
대전광역시 중구 대사동 116-11,79.1,벽돌구조,단독주택,(철근)콘크리트,1982-03-05
대전광역시 중구 대사동 116-13,90.71,벽돌구조,단독주택,기와,
대전광역시 중구 대사동 116-19,50.27,벽돌구조,단독주택,(철근)콘크리트,1972-07-10
대전광역시 중구 대사동 116-2,84.56,벽돌구조,단독주택,(철근)콘크리트,1972-04-06
대전광역시 중구 대사동 116-3,89.85,벽돌구조,단독주택,(철근)콘크리트,1969-12-19
대전광역시 중구 대사동 116-5,68.46,블록구조,단독주택,기와,1965
대전광역시 중구 대사동 116-6,110.18,벽돌구조,단독주택,(철근)콘크리트,1968-09-06
대전광역시 중구 대사동 116-7,94.68,기타조적구조,단독주택,(철근)콘크리트,1984-12-31
대전광역시 중구 대사동 116-8,199.685,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1990-12-21
대전광역시 중구 대사동 116-9,106.5,벽돌구조,단독주택,(철근)콘크리트,1971-10-30
대전광역시 중구 대사동 117-1,41.35,벽돌구조,단독주택,기와,1957
대전광역시 중구 대사동 117-11,61.02,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1988-10-07
대전광역시 중구 대사동 117-14,68.1,벽돌구조,단독주택,기와,1955
대전광역시 중구 대사동 117-15,100.99,벽돌구조,단독주택,(철근)콘크리트,1952
대전광역시 중구 대사동 117-2,322.41,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1973-11-29
대전광역시 중구 대사동 117-6,96.89,벽돌구조,단독주택,기와,1974-10-19
대전광역시 중구 대사동 117-8,77.38,벽돌구조,단독주택,(철근)콘크리트,1969-06-20
대전광역시 중구 대사동 117-9,66.43,벽돌구조,단독주택,(철근)콘크리트,1987-07-16
대전광역시 중구 대사동 118-10,116.635,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1986-10-31
대전광역시 중구 대사동 118-12,66.94,벽돌구조,단독주택,(철근)콘크리트,1970-12-21
대전광역시 중구 대사동 118-17,93.57,벽돌구조,단독주택,(철근)콘크리트,1985-04-22
대전광역시 중구 대사동 118-18,49.24,벽돌구조,단독주택,기와,1968-07-13
대전광역시 중구 대사동 118-19,74.74,벽돌구조,단독주택,기와,1968-07-13
