대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 동구 가양동 146-22,84.86,벽돌구조,단독주택,(철근)콘크리트,1980-01-11
대전광역시 동구 가양동 146-23,89.7,철근콘크리트구조,단독주택,(철근)콘크리트,2015-11-16
대전광역시 동구 가양동 146-25,167.53,철근콘크리트구조,공동주택,(철근)콘크리트,1993-12-30
대전광역시 동구 가양동 146-26,103.47,벽돌구조,단독주택,(철근)콘크리트,1986-10-07
대전광역시 동구 가양동 146-27,112.45,철근콘크리트구조,단독주택,(철근)콘크리트,2013-08-26
대전광역시 동구 가양동 146-28,113.27,철근콘크리트구조,단독주택,(철근)콘크리트,2015-01-16
대전광역시 동구 가양동 146-29,95.0,벽돌구조,단독주택,(철근)콘크리트,1986-07-28
대전광역시 동구 가양동 146-3,324.63,철근콘크리트구조,단독주택,(철근)콘크리트,2011-01-07
대전광역시 동구 가양동 146-30,83.22,벽돌구조,단독주택,(철근)콘크리트,1986-08-13
대전광역시 동구 가양동 146-33,97.09,벽돌구조,단독주택,(철근)콘크리트,1987-06-05
대전광역시 동구 가양동 146-34,113.71,철근콘크리트구조,단독주택,(철근)콘크리트,2015-07-24
대전광역시 동구 가양동 146-35,232.23,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2004-08-21
대전광역시 동구 가양동 146-37,199.67,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1980-12-22
대전광역시 동구 가양동 146-38,106.38,벽돌구조,공동주택,(철근)콘크리트,1986-10-28
대전광역시 동구 가양동 146-4,123.76,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1993-08-27
대전광역시 동구 가양동 146-42,132.56,철근콘크리트구조,단독주택,(철근)콘크리트,2004-05-03
대전광역시 동구 가양동 146-45,68.14,벽돌구조,단독주택,(철근)콘크리트,1981-07-16
대전광역시 동구 가양동 146-47,64.2,벽돌구조,단독주택,(철근)콘크리트,1981-04-30
대전광역시 동구 가양동 146-48,75.82,벽돌구조,단독주택,(철근)콘크리트,1981-08-10
대전광역시 동구 가양동 146-5,147.05,철근콘크리트구조,단독주택,(철근)콘크리트,2016-02-01
대전광역시 동구 가양동 146-51,82.02,철근콘크리트구조,단독주택,(철근)콘크리트,2011-09-01
대전광역시 동구 가양동 146-52,97.03,벽돌구조,단독주택,기타지붕,1992-12-24
대전광역시 동구 가양동 146-53,107.72,철근콘크리트구조,단독주택,(철근)콘크리트,1994-12-28
대전광역시 동구 가양동 146-54,150.1,철근콘크리트구조,단독주택,(철근)콘크리트,2002-02-23
대전광역시 동구 가양동 146-56,202.74,철근콘크리트구조,단독주택,(철근)콘크리트,2023-07-11
대전광역시 동구 가양동 146-59,127.8,철근콘크리트구조,단독주택,(철근)콘크리트,2010-06-11
대전광역시 동구 가양동 146-6,237.02,철근콘크리트구조,단독주택,(철근)콘크리트,1984-09-28
대전광역시 동구 가양동 146-61,324.63,철근콘크리트구조,단독주택,(철근)콘크리트,2011-01-07
대전광역시 동구 가양동 146-7,90.3,철근콘크리트구조,단독주택,(철근)콘크리트,2003-08-05
대전광역시 동구 가양동 146-8,81.4,철근콘크리트구조,단독주택,(철근)콘크리트,2017-01-11
대전광역시 동구 가양동 146-9,142.6,철근콘크리트구조,단독주택,(철근)콘크리트,2015-07-17
대전광역시 동구 가양동 147-1,324.245,철근콘크리트구조,단독주택,(철근)콘크리트,1993-08-06
대전광역시 동구 가양동 147-10,152.64,경량철골구조,제1종근린생활시설,기타지붕,1992-07-06
대전광역시 동구 가양동 147-11,64.99,벽돌구조,단독주택,(철근)콘크리트,1979-11-13
대전광역시 동구 가양동 147-12,212.36,벽돌구조,단독주택,(철근)콘크리트,1984-06-14
대전광역시 동구 가양동 147-13,178.53,철근콘크리트구조,단독주택,(철근)콘크리트,2017-12-13
대전광역시 동구 가양동 147-14,81.01,벽돌구조,단독주택,(철근)콘크리트,1982-04-23
대전광역시 동구 가양동 147-15,256.84000000000003,철근콘크리트구조,공동주택,(철근)콘크리트,1991-12-14
대전광역시 동구 가양동 147-17,64.99,벽돌구조,단독주택,(철근)콘크리트,1979-11-13
대전광역시 동구 가양동 147-18,64.99,벽돌구조,단독주택,(철근)콘크리트,1979-11-13
대전광역시 동구 가양동 147-19,64.99,벽돌구조,단독주택,(철근)콘크리트,1979-11-13
대전광역시 동구 가양동 147-2,122.81,철근콘크리트구조,단독주택,(철근)콘크리트,2002-09-10
대전광역시 동구 가양동 147-21,75.12,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2002-09-24
대전광역시 동구 가양동 147-22,64.99,벽돌구조,단독주택,(철근)콘크리트,1979-11-13
대전광역시 동구 가양동 147-24,111.32,철근콘크리트구조,단독주택,(철근)콘크리트,1992-09-14
대전광역시 동구 가양동 147-25,122.0,철근콘크리트구조,단독주택,(철근)콘크리트,2020-09-02
대전광역시 동구 가양동 147-26,112.91,철근콘크리트구조,단독주택,(철근)콘크리트,2020-09-02
대전광역시 동구 가양동 147-27,86.07,벽돌구조,단독주택,(철근)콘크리트,1978-09-28
대전광역시 동구 가양동 147-28,230.16,철근콘크리트구조,단독주택,(철근)콘크리트,2022-04-14
대전광역시 동구 가양동 147-3,129.26,철근콘크리트구조,단독주택,(철근)콘크리트,2011-02-28
대전광역시 동구 가양동 147-31,115.25,철근콘크리트구조,단독주택,(철근)콘크리트,2002-09-06
대전광역시 동구 가양동 147-32,86.29,벽돌구조,단독주택,(철근)콘크리트,1982-04-23
대전광역시 동구 가양동 147-33,126.21,철근콘크리트구조,단독주택,(철근)콘크리트,2016-07-28
대전광역시 동구 가양동 147-34,126.21,철근콘크리트구조,단독주택,(철근)콘크리트,2016-07-28
대전광역시 동구 가양동 147-35,104.52,철근콘크리트구조,단독주택,(철근)콘크리트,1989-05-15
대전광역시 동구 가양동 147-36,190.34,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2011-03-02
대전광역시 동구 가양동 147-39,146.16,벽돌구조,단독주택,(철근)콘크리트,1992-01-06
대전광역시 동구 가양동 147-40,109.85,철근콘크리트구조,단독주택,(철근)콘크리트,2020-08-25
대전광역시 동구 가양동 147-41,112.94,철근콘크리트구조,단독주택,(철근)콘크리트,2020-08-25
대전광역시 동구 가양동 147-42,115.29,철근콘크리트구조,단독주택,(철근)콘크리트,2011-02-28
대전광역시 동구 가양동 147-43,104.25,철근콘크리트구조,단독주택,(철근)콘크리트,2011-02-28
