ADDR,ADDR_CD,YEAR,MONTH,ELE,GAS,ELE_DSA,GAS_DSA
대전광역시 대덕구 갈전동,3023012100,2015,1,17629.0,0.0,8.21952829,0.0
대전광역시 대덕구 갈전동,3023012100,2015,2,19926.0,0.0,9.29050544,0.0
대전광역시 대덕구 갈전동,3023012100,2015,3,16224.0,0.0,7.5644465,0.0
대전광역시 대덕구 갈전동,3023012100,2015,4,16490.0,0.0,7.68846908,0.0
대전광역시 대덕구 갈전동,3023012100,2015,5,14625.0,0.0,6.8189120999999995,0.0
대전광역시 대덕구 갈전동,3023012100,2015,6,12401.0,0.0,5.78197121,0.0
대전광역시 대덕구 갈전동,3023012100,2015,7,11747.0,0.0,5.47704347,0.0
대전광역시 대덕구 갈전동,3023012100,2015,8,12938.0,0.0,6.0323477,0.0
대전광역시 대덕구 갈전동,3023012100,2015,9,12747.0,0.0,5.94329385,0.0
대전광역시 대덕구 갈전동,3023012100,2015,10,11143.0,0.0,5.1954282,0.0
대전광역시 대덕구 갈전동,3023012100,2015,11,11523.0,0.0,5.37260336,0.0
대전광역시 대덕구 갈전동,3023012100,2015,12,16157.0,0.0,7.5332077,0.0
대전광역시 대덕구 갈전동,3023012100,2016,1,17956.0,0.0,8.37199214,0.0
대전광역시 대덕구 갈전동,3023012100,2016,2,25601.0,0.0,11.93647649,0.0
대전광역시 대덕구 갈전동,3023012100,2016,3,25704.0,0.0,11.98450027,0.0
대전광역시 대덕구 갈전동,3023012100,2016,4,23773.0,0.0,11.084170760000001,0.0
대전광역시 대덕구 갈전동,3023012100,2016,5,24145.0,0.0,11.25761591,0.0
대전광역시 대덕구 갈전동,3023012100,2016,6,24096.0,0.0,11.23476962,0.0
대전광역시 대덕구 갈전동,3023012100,2016,7,20124.0,0.0,9.38282306,0.0
대전광역시 대덕구 갈전동,3023012100,2016,8,15920.0,0.0,7.422706359999999,0.0
대전광역시 대덕구 갈전동,3023012100,2016,9,15804.0,0.0,7.36862133,0.0
대전광역시 대덕구 갈전동,3023012100,2016,10,13976.0,0.0,6.51631561,0.0
대전광역시 대덕구 갈전동,3023012100,2016,11,19515.0,0.0,9.09887655,0.0
대전광역시 대덕구 갈전동,3023012100,2016,12,22141.0,0.0,10.32325011,0.0
대전광역시 대덕구 갈전동,3023012100,2017,1,22788.0,0.0,10.62491412,0.0
대전광역시 대덕구 갈전동,3023012100,2017,2,19108.0,0.0,8.90911265,0.0
대전광역시 대덕구 갈전동,3023012100,2017,3,11343.0,0.0,5.28867829,0.0
대전광역시 대덕구 갈전동,3023012100,2017,4,10078.0,0.0,4.69887153,0.0
대전광역시 대덕구 갈전동,3023012100,2017,5,8668.0,0.0,4.04145847,0.0
대전광역시 대덕구 갈전동,3023012100,2017,6,6826.0,0.0,3.18262523,0.0
대전광역시 대덕구 갈전동,3023012100,2017,7,6072.0,0.0,2.8310724400000002,0.0
대전광역시 대덕구 갈전동,3023012100,2017,8,6523.0,0.0,3.04135136,0.0
대전광역시 대덕구 갈전동,3023012100,2017,9,5758.0,0.0,2.6846698099999995,0.0
대전광역시 대덕구 갈전동,3023012100,2017,10,5895.0,0.0,2.7485461300000003,0.0
대전광역시 대덕구 갈전동,3023012100,2017,11,9150.0,0.0,4.26619118,0.0
대전광역시 대덕구 갈전동,3023012100,2017,12,11042.0,0.0,5.14833694,0.0
대전광역시 대덕구 갈전동,3023012100,2018,1,12996.0,0.0,6.0593902,0.0
대전광역시 대덕구 갈전동,3023012100,2018,2,17123.0,0.0,7.98360559,0.0
대전광역시 대덕구 갈전동,3023012100,2018,3,12894.0,0.0,6.01183266,0.0
대전광역시 대덕구 갈전동,3023012100,2018,4,11339.0,0.0,5.2868133,0.0
대전광역시 대덕구 갈전동,3023012100,2018,5,9737.0,0.0,4.53988016,0.0
대전광역시 대덕구 갈전동,3023012100,2018,6,7036.0,0.0,3.28053782,0.0
대전광역시 대덕구 갈전동,3023012100,2018,7,6400.0,0.0,2.98400257,0.0
대전광역시 대덕구 갈전동,3023012100,2018,8,8235.0,0.0,3.8395720599999996,0.0
대전광역시 대덕구 갈전동,3023012100,2018,9,7393.0,0.0,3.44698922,0.0
대전광역시 대덕구 갈전동,3023012100,2018,10,6567.0,0.0,3.06186638,0.0
대전광역시 대덕구 갈전동,3023012100,2018,11,10199.0,0.0,4.75528783,0.0
대전광역시 대덕구 갈전동,3023012100,2018,12,11477.0,0.0,5.35115585,0.0
대전광역시 대덕구 갈전동,3023012100,2019,1,16279.0,0.0,7.59009027,0.0
대전광역시 대덕구 갈전동,3023012100,2019,2,20061.0,0.0,9.35344928,0.0
대전광역시 대덕구 갈전동,3023012100,2019,3,20546.0,0.0,9.579580720000001,0.0
대전광역시 대덕구 갈전동,3023012100,2019,4,19152.0,0.0,8.92962767,0.0
대전광역시 대덕구 갈전동,3023012100,2019,5,14753.0,0.0,6.87859216,0.0
대전광역시 대덕구 갈전동,3023012100,2019,6,8104.0,0.0,3.77849324,0.0
대전광역시 대덕구 갈전동,3023012100,2019,7,6525.0,0.0,3.04228386,0.0
대전광역시 대덕구 갈전동,3023012100,2019,8,7540.0,0.0,3.51552803,0.0
대전광역시 대덕구 갈전동,3023012100,2019,9,7100.0,0.0,3.31037786,0.0
대전광역시 대덕구 갈전동,3023012100,2019,10,8692.0,0.0,4.05264848,0.0
대전광역시 대덕구 갈전동,3023012100,2019,11,14446.0,0.0,6.735453280000001,0.0
대전광역시 대덕구 갈전동,3023012100,2019,12,20431.0,0.0,9.52596192,0.0
대전광역시 대덕구 갈전동,3023012100,2020,1,19429.0,0.0,9.05877901,0.0
대전광역시 대덕구 갈전동,3023012100,2020,2,6780.0,0.0,3.16117771,0.0
대전광역시 대덕구 갈전동,3023012100,2020,3,4929.0,0.0,2.29814822,0.0
대전광역시 대덕구 갈전동,3023012100,2020,4,5154.0,0.0,2.4030545500000002,0.0
대전광역시 대덕구 갈전동,3023012100,2020,5,5078.0,0.0,2.36761952,0.0
대전광역시 대덕구 갈전동,3023012100,2020,6,4663.0,0.0,2.17412562,0.0
대전광역시 대덕구 갈전동,3023012100,2020,7,4685.0,0.0,2.18438312,0.0
대전광역시 대덕구 갈전동,3023012100,2020,8,5031.0,0.0,2.34570577,0.0
대전광역시 대덕구 갈전동,3023012100,2020,9,5700.0,0.0,2.65762727,0.0
대전광역시 대덕구 갈전동,3023012100,2020,10,4531.0,0.0,2.11258056,0.0
대전광역시 대덕구 갈전동,3023012100,2020,11,5236.0,0.0,2.44128709,0.0
대전광역시 대덕구 갈전동,3023012100,2020,12,5414.0,0.0,2.52427966,0.0
대전광역시 대덕구 갈전동,3023012100,2021,1,6956.0,0.0,3.2432377800000003,0.0
대전광역시 대덕구 갈전동,3023012100,2021,2,7180.0,0.0,3.34767787,0.0
대전광역시 대덕구 갈전동,3023012100,2021,3,5719.0,0.0,2.66648604,0.0
대전광역시 대덕구 갈전동,3023012100,2021,4,5957.0,0.0,2.77745364,0.0
대전광역시 대덕구 갈전동,3023012100,2021,5,5228.0,0.0,2.43755708,0.0
대전광역시 대덕구 갈전동,3023012100,2021,6,4587.0,0.0,2.13869058,0.0
대전광역시 대덕구 갈전동,3023012100,2021,7,4798.0,0.0,2.23706942,0.0
대전광역시 대덕구 갈전동,3023012100,2021,8,6314.0,0.0,2.9439050200000003,0.0
대전광역시 대덕구 갈전동,3023012100,2021,9,4956.0,0.0,2.31073698,0.0
대전광역시 대덕구 갈전동,3023012100,2021,10,4280.0,0.0,1.9955516999999998,0.0
대전광역시 대덕구 갈전동,3023012100,2021,11,4678.0,0.0,2.1811193700000002,0.0
대전광역시 대덕구 갈전동,3023012100,2021,12,5461.0,0.0,2.5461934299999998,0.0
대전광역시 대덕구 갈전동,3023012100,2022,1,6040.0,0.0,2.81615242,0.0
대전광역시 대덕구 갈전동,3023012100,2022,2,6953.0,0.0,3.24183902,0.0
