ADDR_CD,YEAR,MONTH,예측 전기 사용량,예측 가스 사용량
3011010100,2023,1,888459.44,98907.4
3011010100,2023,2,680235.2,85835.055
3011010100,2023,3,690577.8,99342.67
3011010100,2023,4,802333.56,82422.8
3011010100,2023,5,856070.0,108375.53
3011010100,2023,6,863638.4,85658.16
3011010100,2023,7,685731.94,102289.16
3011010100,2023,8,605415.2,87769.49
3011010100,2023,9,772240.5,106147.26
3011010100,2023,10,816593.3,116008.9
3011010100,2023,11,951603.06,163117.22
3011010100,2023,12,1147977.6,113556.71
3011010200,2023,1,1304937.5,1939368.4
3011010200,2023,2,1220182.1,1155011.2
3011010200,2023,3,1150355.1,815850.3
3011010200,2023,4,1170191.6,664543.0
3011010200,2023,5,1015877.3,542229.9
3011010200,2023,6,1131994.0,469514.3
3011010200,2023,7,1070370.1,540285.44
3011010200,2023,8,1097699.1,568119.75
3011010200,2023,9,1126714.9,856155.0
3011010200,2023,10,1144710.4,884481.2
3011010200,2023,11,1141359.9,1599473.1
3011010200,2023,12,1170408.1,1542940.0
3011010300,2023,1,264251.4,96515.27
3011010300,2023,2,216440.1,61984.55
3011010300,2023,3,194663.98,40721.473
3011010300,2023,4,235576.67,32899.375
3011010300,2023,5,274981.2,30825.795
3011010300,2023,6,267459.22,32487.713
3011010300,2023,7,211018.89,48903.703
3011010300,2023,8,187258.27,72899.15
3011010300,2023,9,216809.8,88290.32
3011010300,2023,10,234843.17,88991.234
3011010300,2023,11,325574.34,98849.65
3011010300,2023,12,258215.53,121658.54
3011010400,2023,1,1399323.5,2666828.2
3011010400,2023,2,1281663.8,1551530.1
3011010400,2023,3,1215873.1,1011468.0
3011010400,2023,4,1368652.1,826672.4
3011010400,2023,5,1288882.2,608366.8
3011010400,2023,6,1255979.4,523306.6
3011010400,2023,7,1216751.9,682909.44
3011010400,2023,8,1193733.4,737157.94
3011010400,2023,9,1205722.9,1068708.5
3011010400,2023,10,688540.2,2810845.0
3011010400,2023,11,1212529.8,2749930.8
3011010400,2023,12,1217438.8,2767413.8
3011010500,2023,1,3923273.0,3949278.2
3011010500,2023,2,3490957.8,2735098.8
3011010500,2023,3,3637654.2,2460626.5
3011010500,2023,4,3926128.0,2608620.5
3011010500,2023,5,4352408.0,2545527.0
3011010500,2023,6,4603573.5,2076670.2
3011010500,2023,7,3814712.2,2041094.0
3011010500,2023,8,3452762.0,2366303.5
3011010500,2023,9,3488480.0,2366644.2
3011010500,2023,10,3580295.0,2396541.2
3011010500,2023,11,3633802.2,2376946.2
3011010500,2023,12,3903623.0,2269532.2
3011010600,2023,1,1141524.6,945264.06
3011010600,2023,2,1051182.5,868837.0
3011010600,2023,3,1039898.8,980790.9
3011010600,2023,4,956117.9,1228579.8
3011010600,2023,5,1071836.1,1496940.9
3011010600,2023,6,1002775.2,1110504.1
3011010600,2023,7,875026.5,1130148.2
3011010600,2023,8,885990.3,1422795.8
3011010600,2023,9,909498.94,1343306.6
3011010600,2023,10,942697.9,1526545.2
3011010600,2023,11,1013798.2,1487074.4
3011010600,2023,12,1055055.1,1431786.6
3011010700,2023,1,3067320.5,5830085.0
3011010700,2023,2,2961949.5,3497410.5
3011010700,2023,3,2409625.2,2072612.8
3011010700,2023,4,2634452.2,1267431.2
3011010700,2023,5,2832968.5,1017871.7
3011010700,2023,6,2762767.8,1245439.4
3011010700,2023,7,2681471.0,1868356.4
3011010700,2023,8,2575401.5,2274682.0
3011010700,2023,9,2584197.5,3071872.5
3011010700,2023,10,2423025.8,5658449.0
3011010700,2023,11,2431008.5,6329315.0
3011010700,2023,12,2663670.5,6659324.0
3011010800,2023,1,163539.7,116581.06
3011010800,2023,2,134783.11,76343.305
3011010800,2023,3,88693.94,64969.54
3011010800,2023,4,87610.09,121095.445
3011010800,2023,5,99420.94,118803.74
3011010800,2023,6,95931.414,72030.195
3011010800,2023,7,88449.08,62398.36
3011010800,2023,8,104105.97,79583.03
3011010800,2023,9,143925.11,90514.7
3011010800,2023,10,174885.73,221865.05
3011010800,2023,11,167949.16,188916.69
3011010800,2023,12,189484.3,162316.39
3011010900,2023,1,3728195.0,6093540.0
3011010900,2023,2,3451999.8,4697211.5
3011010900,2023,3,3419365.8,4638336.0
3011010900,2023,4,3274120.2,4550984.0
3011010900,2023,5,3477842.8,4537111.5
3011010900,2023,6,3254109.2,4600137.5
3011010900,2023,7,3187741.5,5205258.0
3011010900,2023,8,3240904.8,6269322.0
3011010900,2023,9,3207543.8,6457199.0
3011010900,2023,10,3365261.2,6416810.0
3011010900,2023,11,3392774.5,6517318.0
3011010900,2023,12,3432429.5,6362835.0
3011011000,2023,1,1620453.8,2773419.2
3011011000,2023,2,1599963.9,2887762.2
3011011000,2023,3,1638868.0,3383422.5
3011011000,2023,4,1934722.9,3472270.2
3011011000,2023,5,1930152.4,3683511.8
3011011000,2023,6,1916815.9,3972640.5
3011011000,2023,7,1815591.8,3429642.2
3011011000,2023,8,1544481.2,3284098.8
3011011000,2023,9,1520834.8,3620483.8
3011011000,2023,10,1689919.2,3962003.8
3011011000,2023,11,1784053.9,3965761.8
3011011000,2023,12,1764104.4,4030224.0
3011011100,2023,1,1119536.5,1873282.9
