ADDR_CD,YEAR,MONTH,pre_ele_usa,pre_gas_usa,pre_ele_emi,pre_gas_emi
3011010100,2023,1,888459.44,98907.4,368.7,20.0
3011010100,2023,2,680235.2,85835.055,282.3,17.3
3011010100,2023,3,690577.8,99342.67,286.6,20.1
3011010100,2023,4,802333.56,82422.8,333.0,16.6
3011010100,2023,5,856070.0,108375.53,355.3,21.9
3011010100,2023,6,863638.4,85658.16,358.4,17.3
3011010100,2023,7,685731.94,102289.16,284.6,20.7
3011010100,2023,8,605415.2,87769.49,251.2,17.7
3011010100,2023,9,772240.5,106147.26,320.5,21.4
3011010100,2023,10,816593.3,116008.9,338.9,23.4
3011010100,2023,11,951603.06,163117.22,394.9,32.9
3011010100,2023,12,1147977.6,113556.71,476.4,22.9
3011010200,2023,1,1304937.5,1939368.4,541.5,391.8
3011010200,2023,2,1220182.1,1155011.2,506.4,233.3
3011010200,2023,3,1150355.1,815850.3,477.4,164.8
3011010200,2023,4,1170191.6,664543.0,485.6,134.2
3011010200,2023,5,1015877.3,542229.9,421.6,109.5
3011010200,2023,6,1131994.0,469514.3,469.8,94.8
3011010200,2023,7,1070370.1,540285.44,444.2,109.1
3011010200,2023,8,1097699.1,568119.75,455.5,114.8
3011010200,2023,9,1126714.9,856155.0,467.6,172.9
3011010200,2023,10,1144710.4,884481.2,475.1,178.7
3011010200,2023,11,1141359.9,1599473.1,473.7,323.1
3011010200,2023,12,1170408.1,1542940.0,485.7,311.7
3011010300,2023,1,264251.4,96515.27,109.7,19.5
3011010300,2023,2,216440.1,61984.55,89.8,12.5
3011010300,2023,3,194663.98,40721.473,80.8,8.2
3011010300,2023,4,235576.67,32899.375,97.8,6.6
3011010300,2023,5,274981.2,30825.795,114.1,6.2
3011010300,2023,6,267459.22,32487.713,111.0,6.6
3011010300,2023,7,211018.89,48903.703,87.6,9.9
3011010300,2023,8,187258.27,72899.15,77.7,14.7
3011010300,2023,9,216809.8,88290.32,90.0,17.8
3011010300,2023,10,234843.17,88991.234,97.5,18.0
3011010300,2023,11,325574.34,98849.65,135.1,20.0
3011010300,2023,12,258215.53,121658.54,107.2,24.6
3011010400,2023,1,1399323.5,2666828.2,580.7,538.7
3011010400,2023,2,1281663.8,1551530.1,531.9,313.4
3011010400,2023,3,1215873.1,1011468.0,504.6,204.3
3011010400,2023,4,1368652.1,826672.4,568.0,167.0
3011010400,2023,5,1288882.2,608366.8,534.9,122.9
