대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 대덕구 대화동 10-17,119.15,벽돌구조,단독주택,(철근)콘크리트,1982-03-16
대전광역시 대덕구 대화동 100,620.72,철근콘크리트구조,공장,기타지붕,2005-04-19
대전광역시 대덕구 대화동 101-4,100.92,경량철골구조,공장,기타지붕,1999-02-02
대전광역시 대덕구 대화동 103-1,2189.1,철골철근콘크리트구조,공장,기타지붕,2001-02-17
대전광역시 대덕구 대화동 103-10,281.55,철근콘크리트구조,공장,(철근)콘크리트,2001-02-17
대전광역시 대덕구 대화동 103-12,359.12,일반철골구조,공장,기타지붕,2005-04-25
대전광역시 대덕구 대화동 113-5,487.44,경량철골구조,공장,기타지붕,2005-12-09
대전광역시 대덕구 대화동 118,3714.379,철근콘크리트구조,공장,슬레이트,1999-12-28
대전광역시 대덕구 대화동 118-1,423.46000000000004,일반철골구조,공장,기타지붕,1990-06-29
대전광역시 대덕구 대화동 118-2,772.96,철근콘크리트구조,공장,(철근)콘크리트,1990-06-02
대전광역시 대덕구 대화동 120-1,1701.85,철근콘크리트구조,자동차관련시설,기타지붕,1993-06-18
대전광역시 대덕구 대화동 120-4,599.38,경량철골구조,자동차관련시설,기타지붕,1997-08-28
대전광역시 대덕구 대화동 124-1,1137.46,경량철골구조,자동차관련시설,기타지붕,1995-08-29
대전광역시 대덕구 대화동 124-14,1523.1100000000001,철골콘크리트구조,공장,기타지붕,1979-12-20
대전광역시 대덕구 대화동 124-16,223.17,철근콘크리트구조,자동차관련시설,슬레이트,1979-05-07
대전광역시 대덕구 대화동 124-4,469.69,철근콘크리트구조,자동차관련시설,(철근)콘크리트,1981-01-31
대전광역시 대덕구 대화동 125,4414.76,철근콘크리트구조,교육연구시설,(철근)콘크리트,1993-11-15
대전광역시 대덕구 대화동 129-1,324.55,경량철골구조,공장,슬레이트,1991-04-11
대전광역시 대덕구 대화동 130-1,560.2,일반철골구조,자동차관련시설,기타지붕,1994-01-04
대전광역시 대덕구 대화동 138-1,726.9,경량철골구조,자동차관련시설,기타지붕,1993-11-22
대전광역시 대덕구 대화동 141-1,608.12,벽돌구조,공장,기타지붕,1979-11-01
대전광역시 대덕구 대화동 142-1,273.6,일반철골구조,공장,슬레이트,1981-12-30
대전광역시 대덕구 대화동 142-11,522.42,일반철골구조,공장,기타지붕,2003-02-04
대전광역시 대덕구 대화동 142-2,5351.61,경량철골구조,자동차관련시설,기타지붕,1992-12-24
대전광역시 대덕구 대화동 142-4,4795.85,경량철골구조,공장,기타지붕,2003-12-12
대전광역시 대덕구 대화동 142-5,918.14,철근콘크리트구조,공장,기타지붕,1979-03-13
대전광역시 대덕구 대화동 144,740.07,벽돌구조,공장,슬레이트,1984-07-26
대전광역시 대덕구 대화동 146-1,60.22,벽돌구조,제2종근린생활시설,(철근)콘크리트,1979-09-27
대전광역시 대덕구 대화동 148-1,1366.27,철근콘크리트구조,공장,(철근)콘크리트,1980-11-21
