대지위치,건축면적,주구조,용도,지붕구조,사용승인년도
대전광역시 대덕구 대화동 100,620.72,철근콘크리트구조,공장,기타지붕,2005
대전광역시 대덕구 대화동 101-4,100.92,경량철골구조,공장,기타지붕,1999
대전광역시 대덕구 대화동 103-1,2189.1,철골철근콘크리트구조,공장,기타지붕,2001
대전광역시 대덕구 대화동 103-10,281.55,철근콘크리트구조,공장,(철근)콘크리트,2001
대전광역시 대덕구 대화동 103-12,359.12,일반철골구조,공장,기타지붕,2005
대전광역시 대덕구 대화동 113-5,487.44,경량철골구조,공장,기타지붕,2005
대전광역시 대덕구 대화동 118,3714.379,철근콘크리트구조,공장,슬레이트,1999
대전광역시 대덕구 대화동 118-1,423.46,일반철골구조,공장,기타지붕,1990
대전광역시 대덕구 대화동 118-2,772.96,철근콘크리트구조,공장,(철근)콘크리트,1990
대전광역시 대덕구 대화동 120-1,1701.85,철근콘크리트구조,자동차관련시설,기타지붕,1993
대전광역시 대덕구 대화동 120-4,599.38,경량철골구조,자동차관련시설,기타지붕,1997
대전광역시 대덕구 대화동 124-1,1137.46,경량철골구조,자동차관련시설,기타지붕,1995
대전광역시 대덕구 대화동 124-14,1523.11,철골콘크리트구조,공장,기타지붕,1979
대전광역시 대덕구 대화동 124-16,223.17,철근콘크리트구조,자동차관련시설,슬레이트,1979
대전광역시 대덕구 대화동 124-4,469.69,철근콘크리트구조,자동차관련시설,(철근)콘크리트,1981
대전광역시 대덕구 대화동 125,4414.76,철근콘크리트구조,교육연구시설,(철근)콘크리트,1993
대전광역시 대덕구 대화동 129-1,324.55,경량철골구조,공장,슬레이트,1991
대전광역시 대덕구 대화동 130-1,560.2,일반철골구조,자동차관련시설,기타지붕,1994
대전광역시 대덕구 대화동 138-1,726.9,경량철골구조,자동차관련시설,기타지붕,1993
대전광역시 대덕구 대화동 141-1,608.12,벽돌구조,공장,기타지붕,1979
대전광역시 대덕구 대화동 142-1,273.6,일반철골구조,공장,슬레이트,1981
대전광역시 대덕구 대화동 142-11,522.42,일반철골구조,공장,기타지붕,2003
대전광역시 대덕구 대화동 142-2,5351.61,경량철골구조,자동차관련시설,기타지붕,1992
대전광역시 대덕구 대화동 142-4,4795.85,경량철골구조,공장,기타지붕,2003
대전광역시 대덕구 대화동 142-5,918.14,철근콘크리트구조,공장,기타지붕,1979
대전광역시 대덕구 대화동 144,740.07,벽돌구조,공장,슬레이트,1984
대전광역시 대덕구 대화동 146-1,60.22,벽돌구조,제2종근린생활시설,(철근)콘크리트,1979
대전광역시 대덕구 대화동 148-1,1366.27,철근콘크리트구조,공장,(철근)콘크리트,1980
대전광역시 대덕구 대화동 15-6,209.61,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1990
대전광역시 대덕구 대화동 155-1,1184.93,벽돌구조,공장,(철근)콘크리트,1994
대전광역시 대덕구 대화동 156-2,504.16,경량철골구조,공장,기타지붕,1991
대전광역시 대덕구 대화동 158-2,1805.37,철근콘크리트구조,공장,슬레이트,1978
대전광역시 대덕구 대화동 16-100,74.78,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-101,74.91,벽돌구조,단독주택,슬레이트,1977
대전광역시 대덕구 대화동 16-102,78.94,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-103,77.98,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-104,71.96,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-105,89.7,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-106,75.61,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-107,85.92,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-108,88.79,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-109,83.34,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-111,63.8,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-112,68.33,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-113,74.41,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-114,68.84,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1983
대전광역시 대덕구 대화동 16-117,74.51,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-119,68.22,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-120,70.58,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-121,77.85,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-122,80.96,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-123,77.98,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-125,62.32,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-126,142.57,벽돌구조,단독주택,(철근)콘크리트,1991
대전광역시 대덕구 대화동 16-128,72.26,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-13,1155.12,벽돌구조,공동주택,(철근)콘크리트,1985
대전광역시 대덕구 대화동 16-130,146.67,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 16-133,115.38,벽돌구조,단독주택,(철근)콘크리트,1991
대전광역시 대덕구 대화동 16-134,139.53,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 대화동 16-137,80.73,벽돌구조,숙박시설,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-138,97.95,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 대화동 16-139,110.48,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 대화동 16-14,247.9,벽돌구조,공동주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 16-140,186.4,일반철골구조,위험물저장및처리시설,(철근)콘크리트,2014
대전광역시 대덕구 대화동 16-142,82.84,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-144,81.98,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-145,423.59,벽돌구조,제2종근린생활시설,(철근)콘크리트,1999
대전광역시 대덕구 대화동 16-147,141.85,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-148,72.96,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-149,81.39,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-15,65.06,벽돌구조,단독주택,기와,1976
대전광역시 대덕구 대화동 16-150,81.39,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-153,102.16,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-154,358.91,철근콘크리트구조,공장,(철근)콘크리트,1985
대전광역시 대덕구 대화동 16-155,82.08,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-158,40.5,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 대화동 16-159,125.66,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-16,260.0,일반철골구조,제2종근린생활시설,기타지붕,2006
대전광역시 대덕구 대화동 16-160,82.09,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-161,460.8,벽돌구조,공동주택,(철근)콘크리트,1975
대전광역시 대덕구 대화동 16-163,1241.48,철근콘크리트구조,공동주택,(철근)콘크리트,1983
대전광역시 대덕구 대화동 16-165,114.2,벽돌구조,단독주택,(철근)콘크리트,1990
대전광역시 대덕구 대화동 16-166,122.63,철근콘크리트구조,단독주택,(철근)콘크리트,1992
대전광역시 대덕구 대화동 16-168,158.41,블록구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 대화동 16-169,88.3,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 16-170,132.97,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-171,208.45,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1985
대전광역시 대덕구 대화동 16-172,117.4,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 16-176,81.98,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 16-177,81.98,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-178,84.0,벽돌구조,단독주택,(철근)콘크리트,1987
대전광역시 대덕구 대화동 16-179,82.8,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 대화동 16-19,55.9,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-191,109.61,벽돌구조,단독주택,(철근)콘크리트,1990
대전광역시 대덕구 대화동 16-192,180.62,철근콘크리트구조,단독주택,(철근)콘크리트,2004
대전광역시 대덕구 대화동 16-197,82.28,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-2,5050.7,철근콘크리트구조,공동주택,(철근)콘크리트,1985
대전광역시 대덕구 대화동 16-208,127.5,벽돌구조,단독주택,(철근)콘크리트,1983
대전광역시 대덕구 대화동 16-210,898.67,철근콘크리트구조,종교시설,(철근)콘크리트,1995
대전광역시 대덕구 대화동 16-211,901.95,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1992
대전광역시 대덕구 대화동 16-212,83.74,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-217,139.27,벽돌구조,단독주택,(철근)콘크리트,1989
대전광역시 대덕구 대화동 16-22,92.93,벽돌구조,단독주택,(철근)콘크리트,1975
대전광역시 대덕구 대화동 16-221,260.88,벽돌구조,공동주택,(철근)콘크리트,1990
대전광역시 대덕구 대화동 16-222,359.84,일반철골구조,제2종근린생활시설,기타지붕,2021
대전광역시 대덕구 대화동 16-224,92.84,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-225,65.0,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1983
대전광역시 대덕구 대화동 16-226,159.02,벽돌구조,단독주택,(철근)콘크리트,1989
대전광역시 대덕구 대화동 16-227,144.11,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 16-228,73.8,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 대화동 16-23,70.51,벽돌구조,단독주택,(철근)콘크리트,1975
대전광역시 대덕구 대화동 16-24,72.42,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-242,82.9,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-253,78.65,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-255,90.42,벽돌구조,단독주택,슬레이트,1977
대전광역시 대덕구 대화동 16-259,110.7,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 16-264,62.17,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-266,124.76,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-271,84.86,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-272,112.73,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 16-279,164.25,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 대화동 16-29,71.21,벽돌구조,단독주택,기와,1975
대전광역시 대덕구 대화동 16-290,83.04,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-30,177.035,블록구조,단독주택,슬레이트,1975
대전광역시 대덕구 대화동 16-35,216.37,벽돌구조,제2종근린생활시설,슬레이트,1982
대전광역시 대덕구 대화동 16-36,58.45,벽돌구조,단독주택,기와,1975
대전광역시 대덕구 대화동 16-38,74.89,벽돌구조,단독주택,기와,1993
대전광역시 대덕구 대화동 16-39,68.13,철근콘크리트구조,단독주택,(철근)콘크리트,2004
대전광역시 대덕구 대화동 16-48,52.4,블록구조,단독주택,슬레이트,1975
대전광역시 대덕구 대화동 16-5,14232.48,철근콘크리트구조,공동주택,(철근)콘크리트,1987
대전광역시 대덕구 대화동 16-51,66.74,벽돌구조,단독주택,(철근)콘크리트,1975
대전광역시 대덕구 대화동 16-52,49.88,블록구조,단독주택,기와,1975
대전광역시 대덕구 대화동 16-53,66.21,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-57,82.84,벽돌구조,단독주택,(철근)콘크리트,1975
대전광역시 대덕구 대화동 16-58,63.47,벽돌구조,단독주택,기와,1975
대전광역시 대덕구 대화동 16-59,81.75,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-61,98.8,철근콘크리트구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 대화동 16-62,98.82,벽돌구조,단독주택,(철근)콘크리트,1975
대전광역시 대덕구 대화동 16-63,202.55,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-64,66.48,벽돌구조,단독주택,(철근)콘크리트,1975
대전광역시 대덕구 대화동 16-65,68.96,벽돌구조,단독주택,(철근)콘크리트,1991
대전광역시 대덕구 대화동 16-66,70.93,블록구조,단독주택,기와,1983
대전광역시 대덕구 대화동 16-67,55.07,벽돌구조,단독주택,기와,1976
대전광역시 대덕구 대화동 16-68,82.62,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-69,78.51,벽돌구조,단독주택,기와,1976
대전광역시 대덕구 대화동 16-71,77.75,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-72,339.9,철근콘크리트구조,공동주택,(철근)콘크리트,1998
대전광역시 대덕구 대화동 16-74,225.02,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-75,77.62,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-80,150.68,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 16-81,122.72,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-82,81.74,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-83,55.98,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-85,78.05,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-86,76.66,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-87,77.96,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-88,81.54,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-89,92.29,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-9,191.58,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 16-90,72.03,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-91,72.03,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-92,78.68,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-93,78.42,벽돌구조,단독주택,기와,1976
대전광역시 대덕구 대화동 16-94,83.22,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 16-95,83.6,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 대덕구 대화동 16-96,82.17,벽돌구조,단독주택,기와,1976
대전광역시 대덕구 대화동 16-97,78.21,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-98,77.85,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 16-99,79.08,벽돌구조,단독주택,(철근)콘크리트,1976
대전광역시 대덕구 대화동 164-1,2799.73,일반철골구조,공장,(철근)콘크리트,1996
대전광역시 대덕구 대화동 169,9529.22,철근콘크리트구조,교육연구시설,(철근)콘크리트,1984
대전광역시 대덕구 대화동 188,39.67,일반목구조,단독주택,슬레이트,1980
대전광역시 대덕구 대화동 215,26.45,일반목구조,단독주택,슬레이트,1980
대전광역시 대덕구 대화동 220,35.27,기타조적구조,단독주택,기타지붕,1980
대전광역시 대덕구 대화동 223,139.88,강파이프구조,공장,슬레이트,1982
대전광역시 대덕구 대화동 223-12,616.7,철근콘크리트구조,공장,(철근)콘크리트,1994
대전광역시 대덕구 대화동 223-29,103.15,철근콘크리트구조,위험물저장및처리시설,(철근)콘크리트,2009
대전광역시 대덕구 대화동 225-1,513.27,강파이프구조,자동차관련시설,기타지붕,2004
대전광역시 대덕구 대화동 225-8,78.75,경량철골구조,제2종근린생활시설,기타지붕,2022
대전광역시 대덕구 대화동 227,52970.6,철골철근콘크리트구조,공장,(철근)콘크리트,2017
대전광역시 대덕구 대화동 228-2,1060.12,벽돌구조,자동차관련시설,(철근)콘크리트,1986
대전광역시 대덕구 대화동 229-12,4912.68,철근콘크리트구조,공동주택,(철근)콘크리트,1986
대전광역시 대덕구 대화동 229-20,108.78,벽돌구조,제2종근린생활시설,(철근)콘크리트,1992
대전광역시 대덕구 대화동 233-1,691.9300000000001,일반철골구조,공장,기타지붕,2018
대전광역시 대덕구 대화동 233-4,69.0,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 233-5,30.28,블록구조,단독주택,슬레이트,1974
대전광역시 대덕구 대화동 233-6,103.95,경량철골구조,제2종근린생활시설,기타지붕,2001
대전광역시 대덕구 대화동 234-1,1387.76,경량철골구조,창고시설,기타지붕,1996
대전광역시 대덕구 대화동 235-11,410.23,철근콘크리트구조,종교시설,(철근)콘크리트,1996
대전광역시 대덕구 대화동 236,365.76,경량철골구조,자동차관련시설,기타지붕,1994
대전광역시 대덕구 대화동 236-10,51.48,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 대화동 236-12,73.18,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 대화동 236-4,55.16,블록구조,단독주택,기와,1973
대전광역시 대덕구 대화동 237,472.89,철근콘크리트구조,공장,(철근)콘크리트,1981
대전광역시 대덕구 대화동 238,50.5,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 대화동 238-2,80.0,벽돌구조,제2종근린생활시설,(철근)콘크리트,1980
대전광역시 대덕구 대화동 238-4,195.87,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 238-5,51.4,벽돌구조,단독주택,(철근)콘크리트,1991
대전광역시 대덕구 대화동 239-1,117.1,벽돌구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 대화동 239-10,68.55,벽돌구조,단독주택,(철근)콘크리트,1987
대전광역시 대덕구 대화동 239-11,90.63,블록구조,단독주택,슬레이트,1975
대전광역시 대덕구 대화동 239-15,105.96,철근콘크리트구조,단독주택,기타지붕,2004
대전광역시 대덕구 대화동 239-18,51.44,블록구조,단독주택,기와,1980
대전광역시 대덕구 대화동 239-2,46.31,블록구조,단독주택,기와,1974
대전광역시 대덕구 대화동 239-20,76.24,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 239-4,75.84,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 239-6,60.6,벽돌구조,단독주택,기와,1980
대전광역시 대덕구 대화동 239-7,158.95,벽돌구조,단독주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 239-9,93.39,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 240,194.75,벽돌구조,단독주택,(철근)콘크리트,1982
대전광역시 대덕구 대화동 241,436.76,벽돌구조,공동주택,(철근)콘크리트,1983
대전광역시 대덕구 대화동 241-11,1060.34,벽돌구조,공동주택,(철근)콘크리트,1981
대전광역시 대덕구 대화동 241-14,56.53,벽돌구조,단독주택,기와,1974
대전광역시 대덕구 대화동 241-15,81.29,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 241-18,78.07,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 241-19,81.29,벽돌구조,단독주택,(철근)콘크리트,1978
대전광역시 대덕구 대화동 243-1,98.8,벽돌구조,단독주택,(철근)콘크리트,1992
대전광역시 대덕구 대화동 243-3,147.29,철근콘크리트구조,노유자시설,(철근)콘크리트,1990
대전광역시 대덕구 대화동 243-5,99.4,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 243-6,129.57,벽돌구조,단독주택,(철근)콘크리트,1980
대전광역시 대덕구 대화동 243-7,385.58,벽돌구조,공동주택,(철근)콘크리트,1979
대전광역시 대덕구 대화동 243-9,140.57,벽돌구조,단독주택,기타지붕,1979
대전광역시 대덕구 대화동 246-2,148.27,철근콘크리트구조,단독주택,(철근)콘크리트,2008
대전광역시 대덕구 대화동 246-5,149.5,경량철골구조,단독주택,기타지붕,2007
대전광역시 대덕구 대화동 246-6,103.87,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 대화동 247-11,76.29,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 대화동 247-15,81.18,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 대화동 247-16,70.89,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 대화동 247-17,71.28,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 대화동 247-4,74.61,벽돌구조,단독주택,(철근)콘크리트,1985
대전광역시 대덕구 대화동 247-5,75.17,벽돌구조,단독주택,(철근)콘크리트,1984
대전광역시 대덕구 대화동 247-6,70.89,벽돌구조,단독주택,(철근)콘크리트,1984
