대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 유성구 가정동 1,108.43,벽돌구조,단독주택,슬레이트,1957
대전광역시 유성구 가정동 112,79.0,벽돌구조,단독주택,슬레이트,1925
대전광역시 유성구 가정동 117,113.72,벽돌구조,단독주택,기와,1960
대전광역시 유성구 가정동 117-2,112.4,일반목구조,단독주택,기타지붕,1935
대전광역시 유성구 가정동 118,89.92,벽돌구조,단독주택,기와,1960
대전광역시 유성구 가정동 119,91.2,벽돌구조,단독주택,슬레이트,1950
대전광역시 유성구 가정동 128,106.12,벽돌구조,단독주택,슬레이트,1970
대전광역시 유성구 가정동 129,327.6,벽돌구조,단독주택,슬레이트,1946
대전광역시 유성구 가정동 130,35.04,벽돌구조,단독주택,슬레이트,1935
대전광역시 유성구 가정동 138,1246.16,철근콘크리트구조,방송통신시설,(철근)콘크리트,1993-05-31
대전광역시 유성구 가정동 139-9,2369.26,철근콘크리트구조,방송통신시설,(철근)콘크리트,1995-02-22
대전광역시 유성구 가정동 14,203.82,블록구조,단독주택,슬레이트,1960
대전광역시 유성구 가정동 148-3,184.28,블록구조,단독주택,기와,1970
대전광역시 유성구 가정동 16,90.58,일반목구조,단독주택,슬레이트,1910
대전광역시 유성구 가정동 161,475.0,일반철골구조,교육연구시설,기타지붕,2018-01-12
대전광역시 유성구 가정동 168,118.67,일반목구조,단독주택,슬레이트,1925
대전광역시 유성구 가정동 180,4892.900000000001,경량철골구조,교육연구시설,기타지붕,2010-05-14
대전광역시 유성구 가정동 186,104.93,일반목구조,단독주택,슬레이트,1925
대전광역시 유성구 가정동 189,96.28,일반목구조,단독주택,슬레이트,1905
대전광역시 유성구 가정동 190,264.27,블록구조,단독주택,슬레이트,1983-02-12
대전광역시 유성구 가정동 193-3,76.37,벽돌구조,단독주택,슬레이트,1966
대전광역시 유성구 가정동 196,42.98,벽돌구조,단독주택,슬레이트,1925
대전광역시 유성구 가정동 197,349.37,일반목구조,단독주택,슬레이트,1983-02-12
대전광역시 유성구 가정동 2,1919.3300000000002,벽돌구조,단독주택,슬레이트,1965
대전광역시 유성구 가정동 2-20,888.1,일반철골구조,창고시설,기타지붕,2011-04-25
대전광역시 유성구 가정동 2-22,275.65000000000003,철근콘크리트구조,위험물저장및처리시설,(철근)콘크리트,2011-07-06
대전광역시 유성구 가정동 2-23,222.11999999999998,일반철골구조,제2종근린생활시설,(철근)콘크리트,2013-11-13
대전광역시 유성구 가정동 200,71.73,벽돌구조,단독주택,슬레이트,1945
대전광역시 유성구 가정동 212-27,110.41,벽돌구조,단독주택,기와,1965
대전광역시 유성구 가정동 23,275.58,벽돌구조,단독주택,슬레이트,1945
대전광역시 유성구 가정동 236-1,2202.01,철근콘크리트구조,공동주택,(철근)콘크리트,2018-08-03
대전광역시 유성구 가정동 24,193.06,벽돌구조,단독주택,슬레이트,1945
대전광역시 유성구 가정동 25,260.14,일반목구조,단독주택,슬레이트,1945
대전광역시 유성구 가정동 26,97.53,일반목구조,단독주택,슬레이트,1940
대전광역시 유성구 가정동 277,3586.8802,철근콘크리트구조,공동주택,(철근)콘크리트,2020-08-04
대전광역시 유성구 가정동 28,495.24,블록구조,단독주택,슬레이트,1970
