대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 서구 가수원동 1392,2734.7702,철근콘크리트구조,공동주택,(철근)콘크리트,2014-08-01
대전광역시 서구 가수원동 14-1,23.8,벽돌구조,단독주택,기와,1962
대전광역시 서구 가수원동 14-15,92.39,벽돌구조,단독주택,(철근)콘크리트,1980-10-21
대전광역시 서구 가수원동 140-1,70.97999999999999,경량철골구조,단독주택,기타지붕,2004-09-09
대전광역시 서구 가수원동 141,345.6,경량철골구조,동.식물관련시설,기타지붕,2004-07-31
대전광역시 서구 가수원동 141-1,68.85,경량철골구조,단독주택,기타지붕,2005-03-15
대전광역시 서구 가수원동 15,247.37,블록구조,제2종근린생활시설,기와,1973
대전광역시 서구 가수원동 16-132,165.0,경량철골구조,제2종근린생활시설,기타지붕,2003-02-06
대전광역시 서구 가수원동 16-2,85.65,블록구조,단독주택,슬레이트,1973
대전광역시 서구 가수원동 16-54,68.04,블록구조,단독주택,슬레이트,1960
대전광역시 서구 가수원동 16-8,173.86,블록구조,단독주택,슬레이트,1965
대전광역시 서구 가수원동 168,64.5,블록구조,단독주택,슬레이트,1970
대전광역시 서구 가수원동 172-1,93.54,블록구조,단독주택,기와,1973
대전광역시 서구 가수원동 172-5,58.94,블록구조,단독주택,기와,1978
대전광역시 서구 가수원동 172-6,32.42,블록구조,단독주택,슬레이트,1970
대전광역시 서구 가수원동 173,51.34,블록구조,단독주택,슬레이트,1971
대전광역시 서구 가수원동 173-5,60.5,벽돌구조,단독주택,(철근)콘크리트,1977
대전광역시 서구 가수원동 174-1,119.33,블록구조,단독주택,(철근)콘크리트,1978-05-04
대전광역시 서구 가수원동 174-14,279.96,블록구조,창고시설,슬레이트,1983-06-01
대전광역시 서구 가수원동 174-5,0.0,블록구조,공장,슬레이트,1977-06-14
대전광역시 서구 가수원동 175-1,44.17,블록구조,단독주택,슬레이트,1970
대전광역시 서구 가수원동 175-4,51.75,일반철골구조,제2종근린생활시설,기타지붕,2013-07-17
대전광역시 서구 가수원동 175-7,26.0,경량철골구조,제2종근린생활시설,기타지붕,2005-12-13
대전광역시 서구 가수원동 176-1,0.0,철근콘크리트구조,공장,(철근)콘크리트,1974-11-08
대전광역시 서구 가수원동 178-5,84.36,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1992-07-15
대전광역시 서구 가수원동 179-15,101.48,블록구조,단독주택,슬레이트,1960
대전광역시 서구 가수원동 179-3,206.63,경량철골구조,창고시설,기타지붕,2012-06-14
대전광역시 서구 가수원동 179-4,520.02,철근콘크리트구조,종교시설,(철근)콘크리트,2003-03-21
대전광역시 서구 가수원동 18,27.24,블록구조,동.식물관련시설,기와,1975-11-13
대전광역시 서구 가수원동 18-1,65.34,벽돌구조,단독주택,(철근)콘크리트,1990-08-31
대전광역시 서구 가수원동 180-3,118.8,경량철골구조,제1종근린생활시설,기타지붕,1992-05-11
대전광역시 서구 가수원동 185-5,197.76,경량철골구조,제2종근린생활시설,기타지붕,1991-10-10
대전광역시 서구 가수원동 186-4,309.96,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2022-02-09
대전광역시 서구 가수원동 188-1,643.52,일반철골구조,운동시설,기타지붕,2001-04-02
대전광역시 서구 가수원동 19-3,242.42,일반목구조,단독주택,슬레이트,1959
대전광역시 서구 가수원동 19-7,76.55,블록구조,단독주택,기와,1977-11-21
대전광역시 서구 가수원동 191-1,976.82,철골철근콘크리트구조,운동시설,(철근)콘크리트,1999-12-02
대전광역시 서구 가수원동 191-3,412.48,경량철골구조,제2종근린생활시설,(철근)콘크리트,1992-06-26
대전광역시 서구 가수원동 192-7,130.62,일반철골구조,제1종근린생활시설,기타지붕,2009-11-03
대전광역시 서구 가수원동 209-8,104.88,벽돌구조,제2종근린생활시설,기타지붕,1994-11-05
대전광역시 서구 가수원동 210-7,279.76,철근콘크리트구조,위험물저장및처리시설,(철근)콘크리트,2001-05-19
대전광역시 서구 가수원동 211-1,85.61,벽돌구조,단독주택,(철근)콘크리트,1979-06-05
대전광역시 서구 가수원동 211-11,115.7,벽돌구조,제1종근린생활시설,(철근)콘크리트,1983
대전광역시 서구 가수원동 211-4,197.08,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1980-12-19
대전광역시 서구 가수원동 211-9,63.6,경량철골구조,제1종근린생활시설,기타지붕,2013-06-11
대전광역시 서구 가수원동 215-10,37.6,벽돌구조,단독주택,기와,1977
대전광역시 서구 가수원동 30-1,136.32,일반철골구조,단독주택,기타지붕,2005-07-14
대전광역시 서구 가수원동 30-3,99.2,경량철골구조,창고시설,기타지붕,2020-06-08
대전광역시 서구 가수원동 31-1,404.0,경량철골구조,제1종근린생활시설,기타지붕,2006-05-11
대전광역시 서구 가수원동 350,30.52,블록구조,단독주택,슬레이트,1976
대전광역시 서구 가수원동 36,364.96000000000004,경량철골구조,단독주택,기타지붕,2006-08-04
대전광역시 서구 가수원동 364-2,68.76,일반목구조,단독주택,기와,1940
대전광역시 서구 가수원동 371-11,43.2,블록구조,단독주택,슬레이트,
대전광역시 서구 가수원동 390-4,24.13,일반목구조,단독주택,기와,1930
대전광역시 서구 가수원동 391,0.0,블록구조,동.식물관련시설,슬레이트,1970
대전광역시 서구 가수원동 401-1,54.54,일반목구조,단독주택,기타지붕,1950
대전광역시 서구 가수원동 401-2,129.6,블록구조,동.식물관련시설,슬레이트,1978-05-04
대전광역시 서구 가수원동 405-17,50.14,블록구조,단독주택,기와,1979
대전광역시 서구 가수원동 408-10,33.06,벽돌구조,단독주택,슬레이트,1973
대전광역시 서구 가수원동 410-2,87.24,일반목구조,단독주택,기와,1950
대전광역시 서구 가수원동 411-6,278.42,벽돌구조,공장,슬레이트,1979-08-24
대전광역시 서구 가수원동 42,50.22,경량철골구조,제1종근린생활시설,기타지붕,2017-11-14
대전광역시 서구 가수원동 420-1,61.78,일반목구조,단독주택,기타지붕,1925
대전광역시 서구 가수원동 428-1,164.29,블록구조,단독주택,기와,1925
대전광역시 서구 가수원동 431-6,108.0,경량철골구조,제1종근린생활시설,(철근)콘크리트,1996-10-08
대전광역시 서구 가수원동 44,99.0,경량철골구조,제1종근린생활시설,기타지붕,2018-03-21
대전광역시 서구 가수원동 44-1,70.44,경량철골구조,단독주택,기타지붕,2005-10-20
대전광역시 서구 가수원동 44-2,112.53,경량철골구조,창고시설,기타지붕,2005-11-22
대전광역시 서구 가수원동 44-3,130.51,경량철골구조,단독주택,기타지붕,2005-11-07
대전광역시 서구 가수원동 44-5,118.8,경량철골구조,제1종근린생활시설,기타지붕,2017-04-27
대전광역시 서구 가수원동 44-6,99.0,경량철골구조,제1종근린생활시설,기타지붕,2017-04-27
대전광역시 서구 가수원동 444-3,99.17,블록구조,단독주택,(철근)콘크리트,1968
대전광역시 서구 가수원동 447-1,38.0,블록구조,단독주택,기타지붕,1966
대전광역시 서구 가수원동 448,66.12,벽돌구조,단독주택,기와,1970
대전광역시 서구 가수원동 448-5,115.03,벽돌구조,단독주택,기와,1972
대전광역시 서구 가수원동 45,131.0,경량철골구조,창고시설,기타지붕,2021-12-10
대전광역시 서구 가수원동 450,23.8,블록구조,제1종근린생활시설,슬레이트,
대전광역시 서구 가수원동 450-4,129.78,벽돌구조,단독주택,(철근)콘크리트,1984-08-06
대전광역시 서구 가수원동 46,41.75,경량철골구조,동.식물관련시설,기타지붕,2021-12-03
대전광역시 서구 가수원동 468-1,140.07,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1986-12-23
대전광역시 서구 가수원동 47-2,165.0,경량철골구조,제1종근린생활시설,기타지붕,2017-01-05
대전광역시 서구 가수원동 471,3663.23,철근콘크리트구조,교육연구시설,기타지붕,
대전광역시 서구 가수원동 474,1993.95,일반철골구조,자동차관련시설,기타지붕,2016-02-25
대전광역시 서구 가수원동 475,3860.52,일반철골구조,운동시설,기타지붕,1980-06-16
대전광역시 서구 가수원동 477-1,258.48,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,2012-03-16
대전광역시 서구 가수원동 478-11,118.0,일반철골구조,제2종근린생활시설,기타지붕,2006-08-09
대전광역시 서구 가수원동 48,131.2,경량철골구조,제1종근린생활시설,기타지붕,2006-06-28
대전광역시 서구 가수원동 48-1,288.0,경량철골구조,제1종근린생활시설,기타지붕,2006-07-04
대전광역시 서구 가수원동 480-1,57.12,경량철골구조,제1종근린생활시설,기타지붕,1994-10-28
대전광역시 서구 가수원동 486-9,112.24,벽돌구조,단독주택,(철근)콘크리트,1980-05-08
대전광역시 서구 가수원동 502-1,49.5,경량철골구조,제2종근린생활시설,기타지붕,1999-09-18
대전광역시 서구 가수원동 512-1,2953.85,철근콘크리트구조,공장,슬레이트,1976-02-27
대전광역시 서구 가수원동 517-3,49.58,벽돌구조,단독주택,기와,1981-03-06
대전광역시 서구 가수원동 520-10,53.46,벽돌구조,단독주택,기와,1979-04-22
대전광역시 서구 가수원동 520-105,718.09,철근콘크리트구조,종교시설,기타지붕,2008-03-05
대전광역시 서구 가수원동 520-11,82.8,벽돌구조,단독주택,(철근)콘크리트,1980-10-10
대전광역시 서구 가수원동 520-13,74.58,벽돌구조,단독주택,(철근)콘크리트,1982-08-10
대전광역시 서구 가수원동 520-15,41.38,블록구조,단독주택,슬레이트,1982-09-14
대전광역시 서구 가수원동 520-16,104.835,벽돌구조,단독주택,기와,1979-10-11
대전광역시 서구 가수원동 520-18,40.87,블록구조,단독주택,슬레이트,1983-02-12
대전광역시 서구 가수원동 520-20,35.99,벽돌구조,단독주택,기와,1979-08-06
대전광역시 서구 가수원동 520-24,175.92,블록구조,단독주택,기와,1980
대전광역시 서구 가수원동 520-26,83.2,벽돌구조,단독주택,(철근)콘크리트,1980-09-04
대전광역시 서구 가수원동 520-27,149.42,블록구조,공장,슬레이트,1971
대전광역시 서구 가수원동 520-32,106.82,벽돌구조,단독주택,기와,1977-01-10
대전광역시 서구 가수원동 520-36,82.08,벽돌구조,단독주택,(철근)콘크리트,1984-01-17
대전광역시 서구 가수원동 520-7,63.73,벽돌구조,단독주택,기와,1979-02-15
대전광역시 서구 가수원동 520-78,69.22,벽돌구조,단독주택,(철근)콘크리트,1982-11-24
대전광역시 서구 가수원동 520-8,73.68,벽돌구조,단독주택,기와,1980-08-07
대전광역시 서구 가수원동 520-9,80.2,벽돌구조,단독주택,(철근)콘크리트,1984-06-04
대전광역시 서구 가수원동 520-93,55.33,블록구조,단독주택,슬레이트,1983-02-06
대전광역시 서구 가수원동 521-6,244.62,벽돌구조,동.식물관련시설,슬레이트,1969
대전광역시 서구 가수원동 524-1,243.3,벽돌구조,제2종근린생활시설,슬레이트,1972
대전광역시 서구 가수원동 531-2,55.92,블록구조,단독주택,슬레이트,1977-12-06
대전광역시 서구 가수원동 538-1,30.92,블록구조,단독주택,슬레이트,1983-02-08
대전광역시 서구 가수원동 54-1,75.66,경량철골구조,단독주택,기타지붕,2021-01-07
대전광역시 서구 가수원동 547-1,340.37,벽돌구조,운수시설,(철근)콘크리트,1976.0
대전광역시 서구 가수원동 547-11,45.44,일반철골구조,위험물저장및처리시설,기타지붕,1999-06-12
대전광역시 서구 가수원동 547-116,126.6,일반철골구조,종교시설,기타지붕,2005-08-25
대전광역시 서구 가수원동 547-120,87.89,벽돌구조,단독주택,기타지붕,2014-03-31
대전광역시 서구 가수원동 547-139,468.0,일반철골구조,위험물저장및처리시설,기타지붕,2016-02-25
대전광역시 서구 가수원동 547-154,54.39,일반철골구조,창고시설,기타지붕,2022-03-21
대전광역시 서구 가수원동 547-191,127.5,일반철골구조,제1종근린생활시설,기타지붕,2024-08-06
대전광역시 서구 가수원동 547-20,165.0,철근콘크리트구조,위험물저장및처리시설,(철근)콘크리트,1997-04-24
대전광역시 서구 가수원동 547-200,251.2,일반철골구조,위험물저장및처리시설,기타지붕,2022-12-12
대전광역시 서구 가수원동 547-203,482.99,일반철골구조,제2종근린생활시설,기타지붕,2023-02-10
대전광역시 서구 가수원동 547-23,121.82,일반목구조,단독주택,슬레이트,1925
대전광역시 서구 가수원동 547-26,40.66,벽돌구조,단독주택,기와,1971
대전광역시 서구 가수원동 547-37,87.93,일반목구조,단독주택,기타지붕,1920
대전광역시 서구 가수원동 547-4,0.0,기타강구조,위험물저장및처리시설,기타지붕,1976-07-22
대전광역시 서구 가수원동 547-52,46.61,벽돌구조,단독주택,슬레이트,1969
