addr,total,households
오정동,14775,7531
대화동,7180,3503
회덕동,12782,5764
비래동,16671,7021
송촌동,27921,10337
중리동,19594,10024
법1동,13076,5913
법2동,16488,6904
신탄진,11053,5228
석봉동,16475,6446
덕암동,13686,6346
목상동,6683,3188
