addr,total,households
원동,406,263
정동,937,780
중동,710,507
소제동,1784,1089
신안동,708,485
인동,7260,3332
신흥동,4737,2135
효동,3073,1307
천동,8790,3276
가오동,12859,5055
판암1동,12002,5635
삼정동,391,274
판암2동,8517,5296
용운동,21942,10281
대동,14919,6417
자양동,10652,6444
가양1동,13687,6981
가양2동,18244,8921
용전동,20496,11453
성남동,11954,5636
홍도동,11065,5814
삼성동,14088,6657
추동,371,174
비룡동,267,137
주산동,182,87
용계동,0,0
마산동,81,43
효평동,177,97
직동,91,53
세천동,587,310
신상동,205,119
신하동,255,131
신촌동,45,26
주촌동,68,36
내탑동,2,1
사성동,34,21
오동,50,30
낭월동,10349,4385
대별동,514,282
이사동,371,214
대성동,7955,2875
장척동,58,30
소호동,159,87
구도동,93,61
삼괴동,377,197
상소동,382,225
하소동,328,173
