addr,total,households
진잠동,35106,14864
온천1동,34820,21070
온천2동,40180,19308
노은1동,22203,8699
노은2동,24850,9403
노은3동,37832,14074
신성동,25858,11346
전민동,27203,11187
구즉동,27835,11791
관평동,29057,10616
원신흥동,46103,18934
