addr,total,households
원동,454.0,281.0
정동,960.0,803.0
중동,747.0,523.0
소제동,2046.0,1303.0
신안동,756.0,509.0
인동,7471.0,3385.0
신흥동,4851.0,2126.0
효동,3238.0,1386.0
천동,9147.0,3335.0
가오동,12953.0,4959.0
판암1동,12103.0,5546.0
삼정동,400.0,267.0
판암2동,8811.0,5311.0
용운동,18610.0,8713.0
대동,15175.0,6404.0
자양동,10582.0,6199.0
가양1동,13994.0,6953.0
가양2동,18475.0,8695.0
용전동,20607.0,11172.0
성남동,12341.0,5713.0
홍도동,11051.0,5551.0
삼성동,14590.0,6746.0
추동,354.0,165.0
비룡동,272.0,137.0
주산동,190.0,89.0
용계동,0.0,0.0
마산동,119.0,57.0
효평동,185.0,102.0
직동,96.0,53.0
세천동,623.0,323.0
신상동,202.0,115.0
신하동,256.0,132.0
신촌동,50.0,25.0
주촌동,66.0,35.0
내탑동,2.0,1.0
사성동,30.0,18.0
오동,46.0,28.0
낭월동,10685.0,4418.0
대별동,542.0,295.0
이사동,354.0,207.0
대성동,8165.0,2888.0
장척동,50.0,24.0
소호동,172.0,91.0
구도동,89.0,55.0
삼괴동,376.0,199.0
상소동,393.0,215.0
하소동,342.0,177.0
