addr,total,households
진잠동,25118,11309
학하동,17045,7583
상대동,22014,8065
온천1동,26734,17447
온천2동,40014,20033
노은1동,21827,8825
노은2동,24367,9482
노은3동,37318,14124
신성동,26086,11883
전민동,27016,11448
구즉동,27291,11855
관평동,28750,10749
원신흥동,27697,12647
