addr,total,households
진잠동,24774,11408
학하동,18426,8386
상대동,25281,9123
온천1동,26370,17667
온천2동,40015,20570
노은1동,21431,8834
노은2동,23943,9507
노은3동,36888,14146
신성동,25921,12062
전민동,26749,11489
구즉동,30818,13742
관평동,28396,10825
원신흥동,27081,12546
