addr,total,households
은행선화동,16161,9434
목동,14737,4939
중촌동,13385,6320
대흥동,14132,7447
문창동,4766,2636
석교동,15910,7641
대사동,5470,3166
부사동,6780,3438
용두동,9679,5122
오류동,10431,4754
태평1동,13607,5228
태평2동,26297,9677
유천1동,6673,3677
유천2동,13898,6394
문화1동,22851,8825
문화2동,12906,6079
산성동,27867,12849
