addr,total,households
은행선화동,15644,9200
목동,14379,4922
중촌동,12527,5998
대흥동,13752,7520
문창동,4699,2648
석교동,15622,7764
대사동,5474,3262
부사동,6748,3509
용두동,9465,5129
오류동,10577,4979
태평1동,13291,5217
태평2동,25613,9611
유천1동,6555,3663
유천2동,13711,6465
문화1동,22378,8836
문화2동,12631,6104
산성동,27275,12782
