addr,total,households
오정동,14506,7660
대화동,6944,3529
회덕동,12271,5663
비래동,16215,7028
송촌동,27150,10399
중리동,19567,10330
법1동,13100,6002
법2동,15966,6876
신탄진,12825,6175
석봉동,16303,6486
덕암동,13725,6601
목상동,6474,3185
