addr,total,households
복수동,22354.0,8792.0
도마1동,15318.0,8111.0
도마2동,17328.0,8305.0
정림동,16123.0,6812.0
변동,16015.0,7808.0
괴정동,19227.0,11407.0
가장동,11775.0,5130.0
내동,23750.0,9553.0
가수원동,44248.0,17361.0
관저1동,15563.0,6518.0
관저2동,49843.0,19258.0
기성동,3689.0,1954.0
용문동,12267.0,7150.0
탄방동,27284.0,14566.0
둔산1동,16784.0,5779.0
둔산2동,35669.0,14407.0
둔산3동,19761.0,7986.0
갈마1동,21613.0,11439.0
갈마2동,24860.0,13213.0
월평1동,11234.0,7271.0
월평2동,14706.0,7188.0
월평3동,21196.0,7618.0
만년동,12758.0,5966.0
