addr,total,households
복수동,22836.0,8809.0
도마1동,15187.0,7774.0
도마2동,17690.0,8273.0
정림동,16564.0,6791.0
변동,16221.0,7688.0
괴정동,19265.0,11046.0
가장동,12302.0,5221.0
내동,24010.0,9398.0
가수원동,41464.0,15942.0
관저1동,15799.0,6432.0
관저2동,50798.0,19131.0
기성동,3816.0,1971.0
용문동,12554.0,7037.0
탄방동,27445.0,14344.0
둔산1동,17199.0,5845.0
둔산2동,36523.0,14397.0
둔산3동,20164.0,7929.0
갈마1동,21763.0,11186.0
갈마2동,25147.0,13016.0
월평1동,11121.0,6922.0
월평2동,15108.0,7233.0
월평3동,21899.0,7665.0
만년동,13005.0,5881.0
