addr,total,households
은행선화동,14715,8820
목동,16523,5745
중촌동,13948,6660
대흥동,13376,7482
문창동,4446,2562
석교동,15131,7657
대사동,5413,3277
부사동,6584,3480
용두동,9215,5116
오류동,10519,5039
태평1동,12956,5148
태평2동,24933,9533
유천1동,6042,3433
유천2동,13399,6473
문화1동,21101,8491
문화2동,12118,5989
산성동,26689,12787
