addr,total,households
오정동,14130,7545
대화동,6694,3461
회덕동,11808,5536
비래동,15697,6975
송촌동,26667,10375
중리동,19114,10415
법1동,12673,5902
법2동,15453,6781
신탄진,14635,6941
석봉동,16195,6523
덕암동,13344,6599
목상동,6336,3200
